_H:	$Name	%Letter Input[2:0,0]<2:5,7>	%Letter Input[2:1,0]	%Letter Input[2:2,0]	%Letter Input[2:3,0]	%Letter Input[2:4,0]	%Letter Input[2:0,1]	%Letter Input[2:1,1]	%Letter Input[2:2,1]	%Letter Input[2:3,1]	%Letter Input[2:4,1]	%Letter Input[2:0,2]	%Letter Input[2:1,2]	%Letter Input[2:2,2]	%Letter Input[2:3,2]	%Letter Input[2:4,2]	%Letter Input[2:0,3]	%Letter Input[2:1,3]	%Letter Input[2:2,3]	%Letter Input[2:3,3]	%Letter Input[2:4,3]	%Letter Input[2:0,4]	%Letter Input[2:1,4]	%Letter Input[2:2,4]	%Letter Input[2:3,4]	%Letter Input[2:4,4]	%Letter Input[2:0,5]	%Letter Input[2:1,5]	%Letter Input[2:2,5]	%Letter Input[2:3,5]	%Letter Input[2:4,5]	%Letter Input[2:0,6]	%Letter Input[2:1,6]	%Letter Input[2:2,6]	%Letter Input[2:3,6]	%Letter Input[2:4,6]	%Color Input[2:0,0]<2:5,7>	%Color Input[2:1,0]	%Color Input[2:2,0]	%Color Input[2:3,0]	%Color Input[2:4,0]	%Color Input[2:0,1]	%Color Input[2:1,1]	%Color Input[2:2,1]	%Color Input[2:3,1]	%Color Input[2:4,1]	%Color Input[2:0,2]	%Color Input[2:1,2]	%Color Input[2:2,2]	%Color Input[2:3,2]	%Color Input[2:4,2]	%Color Input[2:0,3]	%Color Input[2:1,3]	%Color Input[2:2,3]	%Color Input[2:3,3]	%Color Input[2:4,3]	%Color Input[2:0,4]	%Color Input[2:1,4]	%Color Input[2:2,4]	%Color Input[2:3,4]	%Color Input[2:4,4]	%Color Input[2:0,5]	%Color Input[2:1,5]	%Color Input[2:2,5]	%Color Input[2:3,5]	%Color Input[2:4,5]	%Color Input[2:0,6]	%Color Input[2:1,6]	%Color Input[2:2,6]	%Color Input[2:3,6]	%Color Input[2:4,6]	%Letter Output[2:0,0]<2:5,2>	%Letter Output[2:1,0]	%Letter Output[2:2,0]	%Letter Output[2:3,0]	%Letter Output[2:4,0]	%Letter Output[2:0,1]	%Letter Output[2:1,1]	%Letter Output[2:2,1]	%Letter Output[2:3,1]	%Letter Output[2:4,1]	%Color Output[2:0,0]<2:5,2>	%Color Output[2:1,0]	%Color Output[2:2,0]	%Color Output[2:3,0]	%Color Output[2:4,0]	%Color Output[2:0,1]	%Color Output[2:1,1]	%Color Output[2:2,1]	%Color Output[2:3,1]	%Color Output[2:4,1]
_D:	"A"	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
_D:	"B"	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
_D:	"C"	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
_D:	"D"	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
_D:	"E"	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
_D:	"F"	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
_D:	"G"	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
_D:	"H"	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
_D:	"I"	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
_D:	"J"	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0

